"id","intern nummer","machinenummer","type","merk","model","serienummer","bouwjaar","keuringsrapporten","verhuurregels","status"
"ec53e755-e10b-40ca-a451-672977bb977d","","...............","verreiker","GENIE","............","...............","","1","0","available"
"89347b07-709a-4076-991f-cdff4b8df88f","","002556","heftruck_reachtruck","Nissan","FP01R15U","002556","1996","1","0","available"
"672b52ab-c54e-4662-8467-e0de2b20f925","","0200161242","hoogwerker","Jlg","260mrt","0200161242","2007","1","0","available"
"56c81ea2-7987-4460-b4b2-ee5afde2532f","","0300114624","hoogwerker","JLG","M600JP","0300114624","2007","1","0","available"
"44d7b639-8e44-498b-881e-8efd7ff3e49c","","0300124451","hoogwerker","Jlg","460SJ","0300124451","2008","1","0","available"
"0ebaab64-7392-4f67-b191-d4ceaa6e33fb","","0300125178","hoogwerker","JLG","460SJ","0300125178","2008","2","0","available"
"df794143-9020-483e-86d9-c57b338bd198","","0300142401","hoogwerker","JLG","E400 AJPN","0300142401","2010","1","0","available"
"35e6a231-3015-4ab8-9d04-2f6eb0f8caa8","","051116566","heftruck_reachtruck","Hangcha","CPCD45HW19","051116566","2012","1","0","available"
"36f55533-3652-4a84-b167-11281d66b726","1.511-104.0 serie 010066","1.511-104.0 serie 010066","batterij_lader","Deta","4pzs240","1003720","2008","2","0","available"
"1a9fe7b5-5b4f-4dad-9dfa-067c599dc510","","1232187","verreiker","Manitou","MT1435","1232187","2006","1","0","available"
"8b185b11-6def-42a6-8fce-4db6fb59cf95","","1234","heftruck_reachtruck","Linde","L14","1234","2016","2","0","available"
"f7a1cc7d-9a83-484e-a8b3-b4fdcf7a3c51","","1234567890","graafmachine","Hitachi","ADDDB-1-1-1-1","1234567890","2001","1","0","available"
"1e5b7043-453b-4a82-9add-c882448e0e7c","","1234656789","graafmachine","testmerk","12456","1234656789","1979","1","0","available"
"6ea45ac6-191d-43af-b486-43f07d826533","126","126","batterij_lader","Fronius","5pzs","31247801","2014","1","0","available"
"9e0456b5-e902-49ca-96c5-1f5529372104","1521","1521","batterij_lader","Rocket T105","Tractie loodzuur","1521","2017","1","0","available"
"2ad14f6e-d23b-44cd-b352-616e267ef9ac","","153809","verreiker","Manitou","MT1337SLT","153809","2000","1","0","available"
"2aa889bd-9f32-4bed-b177-53a8cb00e114","","15919","heftruck_reachtruck","Toyota","7FBMF25","15919","2007","1","0","available"
"512958a8-b645-4f6a-bc53-c1e95b9e5d0a","2015","2015","batterij_lader","Hawker","Pzs","6363035002","1995","1","0","available"
"4092fe3a-7bb7-4f74-87a6-6e4465e70df1","2021 #21","2021 #21","stellingmateriaal","Metalen M80P","palletstellingen","","","1","0","available"
"ac601968-e63b-409e-bb3b-a0fbd2657540","","2025-10-07","verreiker","verreiker","Bronimport","","","1","0","available"
"cb5f1a88-0ab6-4d6f-a7d5-8453de1084a4","","20671","verreiker","Genie","GTH40Q3SX","20671","2010","1","0","available"
"1d2df51a-0dda-4266-9936-db02576a4269","","22001235","hoogwerker","Skyjack","SJ3219","22001235","2014","1","0","available"
"b9fb4016-7313-4773-b210-b5e2346a5d3c","","22061463 / 146 uur / nr569","hoogwerker","Skyjack","Sj3219","22061463 / 146 uur / nr569","2014","1","0","available"
