groep;klant;voertuig_machine_nummer;voertuig_type;voertuig_merk_model;voertuig_serienummer;voertuig_gearchiveerd;aantal_gekoppelde_kaarten;batterij_lader_machine_nummer;batterij_lader_gearchiveerd;batterij_merk_type;batterij_serienummer;lader_merk_type;voertuignummer_op_batterijkaart;keuringshistorie_batterij_lader;voertuig_id;batterij_lader_id;oordeel_age;opmerking_age
1;And cheese trading;H2X335K01128;heftruck_reachtruck;Linde E14-02;H2X335K01128;nee;2;H2X335K01128-bl;nee;Batterijbv Traktie 4pzs500;;Wa;H2X335K01128;20251069 (2025-07-10);b1570e13-3760-47db-a94d-c6c313523e3c;0df92a4c-06cb-41eb-824e-5750d585bbe6;;
1;And cheese trading;H2X335K01128;heftruck_reachtruck;Linde E14-02;H2X335K01128;nee;2;H2X335K01128-bl-2;nee;Batterijbv Traktie 4pzs500;;Wa;H2X335K01128;20260237 (2026-04-28);b1570e13-3760-47db-a94d-c6c313523e3c;fb9a6f14-1c0a-4011-91b6-83efecca7532;;
2;Baron & Verhoef Las- en verspaningstechniek;G1X336U00632;heftruck_reachtruck;Linde E30-02;G1X336U00632;nee;2;G1X336U00632-bl;nee;Batterijbv Traktie 5Pzs;10202999;Atib 80/100 Wa;G1X336U00632;20260441 (2026-07-08) | 20251105 (2025-07-23) | 20230448 (2023-05-30) | 20220280 (2022-07-19);5e301445-d3a4-4424-be79-60ad21347f2e;f33a8049-0b4a-43ed-a295-bbd7b3702db5;;
2;Baron & Verhoef Las- en verspaningstechniek;G1X336U00632;heftruck_reachtruck;Linde E30-02;G1X336U00632;nee;2;Geen;ja;Ecobatt Tractie loodzuur;61529;Atib Wa lader 380v;G1x336u00632;20210071 (2021-04-20);5e301445-d3a4-4424-be79-60ad21347f2e;be5e123d-ad82-465a-90b9-95fb4f8569a6;;
3;Bouwmensen;Ce256512;heftruck_reachtruck;BT CBE18T;CE256512;nee;2;CE256512-bl;nee;R&W 48V 625AH;5488248;PBM 48/100AH;Ce256512;20230525 (2023-09-25) | 20220322 (2022-09-28) | 20210102 (2021-07-14);4a7d2843-5be6-403e-adb9-b478f4e8701c;329e962a-998d-4e55-abe9-6ff08fda85a1;;
3;Bouwmensen;Ce256512;heftruck_reachtruck;BT CBE18T;CE256512;nee;2;Ce256512-bl-2;nee;Batterijbv Tractie;;Pbm48/100 Wa;Ce256512;20260174 (2026-03-13);4a7d2843-5be6-403e-adb9-b478f4e8701c;c07c6405-b522-4283-8fcd-047aa371d2aa;;
4;Citytec;710244010832 / 2003;palletwagen_stapelaar;Still EGV14;710244010832 / 2003;nee;2;710244010832 / 2003-bl;nee;Midac Traktie 3pzs375;;Evident 2100sp Hf 24/20;710244010832 / 2003;20250914 (2025-03-04) | 20240620 (2024-03-14);8f3b5e4d-f100-4eaf-806f-e6b22b635f4f;56cddf1d-2c10-4716-8c1b-a72d4ebdcb2d;;
4;Citytec;710244010832 / 2003;palletwagen_stapelaar;Still EGV14;710244010832 / 2003;nee;2;710244010832 / 2003-bl-2;nee;midac traktie 3Pzs375;;evident 2100sp HF24/20;710244010832 / 2003;20260189 (2026-03-25);8f3b5e4d-f100-4eaf-806f-e6b22b635f4f;9c7332b0-2e45-4c1d-81fd-269f7bc79109;;
5;Citytec;9A148437;heftruck_reachtruck;Crown SC3220-1.6;9A148437;nee;2;9A148437-bl;nee;Batterijbv 4pzs500;;Aq tron HF;9A148437;20250940 (2025-03-19);68283421-509d-4032-8cb4-7f55d83f09a7;32dcd5f7-9efc-4406-9e68-978dfe43ead3;;
5;Citytec;9A148437;heftruck_reachtruck;Crown SC3220-1.6;9A148437;nee;2;9A148437-bl-2;nee;Batterij bv traktie;;tronic HF;9A148437;20250075 (2025-11-27);68283421-509d-4032-8cb4-7f55d83f09a7;645c5a06-a666-4952-8f44-d08e7b798651;;
6;Citytec;H2X386C01250;heftruck_reachtruck;Linde de E16PH-01;H2X386C01250;nee;3;48/120 TT;nee;Hoppecke Traktie 24/5pzs775;;Fronius Hf fronius;H2x386c01250;20220241 (2022-06-09);37727c65-897c-4919-9f5d-6d6fdd123628;76fbdc6c-fa92-4d80-ab71-e5cc041ba295;;
6;Citytec;H2X386C01250;heftruck_reachtruck;Linde de E16PH-01;H2X386C01250;nee;3;H2X386C01250-bl;nee;Hoppecke Traktie 5pzs775;;Fronius HF fromius;H2X386C01250;20240830 (2024-11-28) | 20230515 (2023-09-21);37727c65-897c-4919-9f5d-6d6fdd123628;035e9c30-3255-4406-ba18-a697e1700f46;;
6;Citytec;H2X386C01250;heftruck_reachtruck;Linde de E16PH-01;H2X386C01250;nee;3;H2X386C01250-bl-2;nee;Batterij bv hoppecke 5pzs775;;SE Wa;H2X386C01250;20250072 (2025-11-27);37727c65-897c-4919-9f5d-6d6fdd123628;12d6a629-ca11-4b4e-b9ee-d8ade8e01471;;
7;Eurochoice;A428T08494T;palletwagen_stapelaar;Yale MP16;A428T08494T;nee;2;A428T08494T-bl;nee;Midac Block mbs 150;;Yale Inbouw;A428T08494T;20250916 (2025-03-04) | 20240577 (2024-01-22);53d23ee0-dad1-486b-8a50-e872423b2bad;42e4b600-3bdc-481f-9406-099896ebda57;;
7;Eurochoice;A428T08494T;palletwagen_stapelaar;Yale MP16;A428T08494T;nee;2;A428T08494T-bl-2;nee;Midac Block mbs 150;;Yale inbouw;A428T08494T;20260182 (2026-03-19);53d23ee0-dad1-486b-8a50-e872423b2bad;cd291909-15c7-456a-a3d5-d4df1a487245;;
8;Historiebak;H2X387D01791;heftruck_reachtruck;Linde E30L;H2X387D01791;nee;3;ARB uitvoering;ja;Sun tab 5Pzs;2021;Axima HF lader;H2X387D01791;20220165 (2022-01-20) | 20200902 (2020-10-05);1900a8ea-bd7a-48f5-b44e-7781ed274e9f;e4d3b1c6-42e0-4bd4-b627-6172d9a098ef;;
8;Historiebak;H2X387D01791;heftruck_reachtruck;Linde E30L;H2X387D01791;nee;3;H2X387D01791-bl;ja;Sun tqb Traktie;;Axima HF axima;H2X387D01791;20250930 (2025-03-18) | 20220367 (2022-12-28);1900a8ea-bd7a-48f5-b44e-7781ed274e9f;7b05c3b2-c2a2-47ca-8e11-35f84b3e7c8a;;
8;Historiebak;H2X387D01791;heftruck_reachtruck;Linde E30L;H2X387D01791;nee;3;H2X387D01791-bl-2;ja;Batterijbv Traktie 5Pzs625;;Axima Hf;H2X387D01791;20260130 (2026-02-19);1900a8ea-bd7a-48f5-b44e-7781ed274e9f;521f1162-5670-4a7e-8f7b-eb4e21f06bfd;;
9;JW van Stee;G1X336N01873;heftruck_reachtruck;Linde E30;G1X336N01873;nee;2;G1X336N01873-bl;nee;Traktie 5Pzs;;Wa atib;G1X336N01873;20240598 (2024-02-20);e2c39eb8-3197-4cf0-a787-ac116cdede09;f6c9af14-60d2-40d4-ba09-188d1011ab38;;
9;JW van Stee;G1X336N01873;heftruck_reachtruck;Linde E30;G1X336N01873;nee;2;G1X336N01873-bl-2;nee;Batterijbv Traktie 5Pzs625;;Atib Wa;G1X336N01873;20250032 (2025-10-17);e2c39eb8-3197-4cf0-a787-ac116cdede09;589421a4-47c7-4c3f-b048-d051204d3638;;
10;Kooiker Onroerend Goed BV;G1x336s50249;heftruck_reachtruck;Linde E25;G1X336S50249;nee;2;G1X336S50249-bl;nee;Tab 5Pzs;Niet vermeld;Tebetron Wa standaart;G1x336s50249;20250897 (2025-02-17) | 20230512 (2023-09-19) | 20220328 (2022-10-05) | 20210112 (2021-09-21);5f2cf8c3-7020-4229-956e-9dcb3c92decf;3e6c2198-85cf-4f08-b28a-4dbcd85f2a56;;
10;Kooiker Onroerend Goed BV;G1x336s50249;heftruck_reachtruck;Linde E25;G1X336S50249;nee;2;G1X336S50249-bl-2;nee;Se Traktie 5pzs625;;Bbv Wa;G1X336S50249;20260117 (2026-02-09);5f2cf8c3-7020-4229-956e-9dcb3c92decf;97801cda-2491-4edd-bceb-4eca6badc86b;;
11;Kooiker Onroerend Goed BV;H2X386W02905;heftruck_reachtruck;Linde E16L;H2X386W02905;nee;2;H2X386W02905-bl;nee;BBV 7pl750;;Hawker Wa 48v125;H2x386W02905;20250899 (2025-02-17) | 20230513 (2023-09-19);64aae872-f327-40a6-b5c2-af19af93964e;4658f96b-6533-4919-ad6a-e1e0da79d5c2;;
11;Kooiker Onroerend Goed BV;H2X386W02905;heftruck_reachtruck;Linde E16L;H2X386W02905;nee;2;H2x386W02905-bl-2;nee;Bbv Traktie 6pzs750;;Hawker 48v125 Wa;H2x386W02905;20260119 (2026-02-09);64aae872-f327-40a6-b5c2-af19af93964e;7a983c86-d5d5-4156-9f2d-49c0a7edf011;;
12;Metalis;6371627;palletwagen_stapelaar;Bt Swe080L;6371627;nee;2;6371627-bl;nee;Teaktie 2pzs180;;HF;6371627;20230558 (2023-11-28);3353b151-1b49-4099-b82e-ca280a8dda71;395860c8-cba1-4d31-8fbe-bf7da37a18a2;;
12;Metalis;6371627;palletwagen_stapelaar;Bt Swe080L;6371627;nee;2;6371627-bl-2;nee;Hawker Traktie pzs180;;Hf intern;6371627;20250057 (2025-11-18);3353b151-1b49-4099-b82e-ca280a8dda71;f8704941-aa48-489d-ae44-f63e373e0ba5;;
